starttime	seconds	ctime	dtime	ttime	wait
Wed Sep 25 20:54:49 2019	1569459289	0	3	3	2
Wed Sep 25 20:54:49 2019	1569459289	1	2	3	1
Wed Sep 25 20:54:50 2019	1569459290	0	3	3	0
Wed Sep 25 20:54:49 2019	1569459289	0	3	3	3
Wed Sep 25 20:54:50 2019	1569459290	0	3	3	3
Wed Sep 25 20:54:50 2019	1569459290	0	3	3	2
Wed Sep 25 20:54:49 2019	1569459289	0	3	3	3
Wed Sep 25 20:54:49 2019	1569459289	0	3	3	3
Wed Sep 25 20:54:50 2019	1569459290	0	3	3	3
Wed Sep 25 20:54:50 2019	1569459290	0	3	3	1
Wed Sep 25 20:54:50 2019	1569459290	0	4	4	0
Wed Sep 25 20:54:49 2019	1569459289	0	4	4	4
Wed Sep 25 20:54:49 2019	1569459289	0	4	4	4
Wed Sep 25 20:54:49 2019	1569459289	0	4	4	4
Wed Sep 25 20:54:49 2019	1569459289	0	4	4	4
Wed Sep 25 20:54:49 2019	1569459289	0	4	4	2
Wed Sep 25 20:54:49 2019	1569459289	0	4	4	4
Wed Sep 25 20:54:50 2019	1569459290	0	4	4	1
Wed Sep 25 20:54:50 2019	1569459290	0	4	4	3
Wed Sep 25 20:54:50 2019	1569459290	0	5	5	4
Wed Sep 25 20:54:50 2019	1569459290	0	5	5	5
Wed Sep 25 20:54:50 2019	1569459290	0	5	5	4
Wed Sep 25 20:54:49 2019	1569459289	0	5	5	5
Wed Sep 25 20:54:49 2019	1569459289	0	5	5	5
Wed Sep 25 20:54:50 2019	1569459290	0	5	5	4
Wed Sep 25 20:54:49 2019	1569459289	0	5	5	4
Wed Sep 25 20:54:49 2019	1569459289	0	5	5	1
Wed Sep 25 20:54:49 2019	1569459289	0	5	6	5
Wed Sep 25 20:54:50 2019	1569459290	0	6	6	6
Wed Sep 25 20:54:49 2019	1569459289	0	6	6	6
Wed Sep 25 20:54:50 2019	1569459290	0	6	6	1
Wed Sep 25 20:54:49 2019	1569459289	0	6	6	6
Wed Sep 25 20:54:50 2019	1569459290	0	6	6	6
Wed Sep 25 20:54:49 2019	1569459289	1	5	6	5
Wed Sep 25 20:54:49 2019	1569459289	1	5	6	5
Wed Sep 25 20:54:49 2019	1569459289	1	5	6	5
Wed Sep 25 20:54:49 2019	1569459289	1	5	6	5
Wed Sep 25 20:54:49 2019	1569459289	1	5	6	5
Wed Sep 25 20:54:50 2019	1569459290	0	6	6	6
Wed Sep 25 20:54:49 2019	1569459289	1	5	6	5
Wed Sep 25 20:54:49 2019	1569459289	0	6	6	4
Wed Sep 25 20:54:50 2019	1569459290	0	6	7	6
Wed Sep 25 20:54:50 2019	1569459290	0	7	7	6
Wed Sep 25 20:54:49 2019	1569459289	0	6	7	6
Wed Sep 25 20:54:50 2019	1569459290	0	7	7	7
Wed Sep 25 20:54:49 2019	1569459289	0	7	7	7
Wed Sep 25 20:54:49 2019	1569459289	0	7	7	7
Wed Sep 25 20:54:50 2019	1569459290	0	7	7	5
Wed Sep 25 20:54:49 2019	1569459289	0	7	7	7
Wed Sep 25 20:54:49 2019	1569459289	0	7	7	7
Wed Sep 25 20:54:49 2019	1569459289	0	7	7	3
Wed Sep 25 20:54:50 2019	1569459290	0	8	8	3
Wed Sep 25 20:54:49 2019	1569459289	0	8	8	8
Wed Sep 25 20:54:49 2019	1569459289	0	8	8	8
Wed Sep 25 20:54:50 2019	1569459290	0	8	8	7
Wed Sep 25 20:54:49 2019	1569459289	0	8	8	7
Wed Sep 25 20:54:49 2019	1569459289	0	8	8	8
Wed Sep 25 20:54:49 2019	1569459289	0	9	9	6
Wed Sep 25 20:54:50 2019	1569459290	0	9	9	7
Wed Sep 25 20:54:49 2019	1569459289	0	9	9	7
Wed Sep 25 20:54:49 2019	1569459289	0	9	9	9
Wed Sep 25 20:54:49 2019	1569459289	0	9	9	9
Wed Sep 25 20:54:49 2019	1569459289	0	9	9	0
Wed Sep 25 20:54:49 2019	1569459289	0	9	9	8
Wed Sep 25 20:54:49 2019	1569459289	0	9	9	7
Wed Sep 25 20:54:49 2019	1569459289	0	9	9	9
Wed Sep 25 20:54:49 2019	1569459289	0	9	9	9
Wed Sep 25 20:54:49 2019	1569459289	0	10	10	10
Wed Sep 25 20:54:50 2019	1569459290	0	10	10	9
Wed Sep 25 20:54:49 2019	1569459289	0	10	11	10
Wed Sep 25 20:54:50 2019	1569459290	0	11	11	11
Wed Sep 25 20:54:49 2019	1569459289	0	11	11	10
Wed Sep 25 20:54:49 2019	1569459289	0	11	11	1
Wed Sep 25 20:54:49 2019	1569459289	0	11	11	11
Wed Sep 25 20:54:49 2019	1569459289	0	11	11	1
Wed Sep 25 20:54:50 2019	1569459290	0	11	11	11
Wed Sep 25 20:54:49 2019	1569459289	0	12	12	12
Wed Sep 25 20:54:49 2019	1569459289	0	12	12	12
Wed Sep 25 20:54:50 2019	1569459290	0	12	12	12
Wed Sep 25 20:54:50 2019	1569459290	0	12	12	12
Wed Sep 25 20:54:49 2019	1569459289	0	12	12	12
Wed Sep 25 20:54:50 2019	1569459290	0	13	13	13
Wed Sep 25 20:54:49 2019	1569459289	0	13	13	13
Wed Sep 25 20:54:49 2019	1569459289	0	14	14	3
Wed Sep 25 20:54:50 2019	1569459290	0	14	14	8
Wed Sep 25 20:54:49 2019	1569459289	0	15	15	3
Wed Sep 25 20:54:49 2019	1569459289	0	16	16	16
Wed Sep 25 20:54:49 2019	1569459289	0	16	16	10
Wed Sep 25 20:54:50 2019	1569459290	0	16	16	7
Wed Sep 25 20:54:50 2019	1569459290	0	17	17	17
Wed Sep 25 20:54:50 2019	1569459290	0	18	18	18
Wed Sep 25 20:54:49 2019	1569459289	0	18	18	18
Wed Sep 25 20:54:50 2019	1569459290	0	18	18	18
Wed Sep 25 20:54:50 2019	1569459290	0	19	19	19
Wed Sep 25 20:54:50 2019	1569459290	0	19	19	19
Wed Sep 25 20:54:49 2019	1569459289	0	25	25	25
Wed Sep 25 20:54:49 2019	1569459289	0	25	25	25
Wed Sep 25 20:54:49 2019	1569459289	0	39	39	39
